"t","name","min","max"
Flag,"-Xnvlink --preserve-relocs","on","off"
Flag," --no-align-double","on","off"
Flag," --use_fast_math","on","off"
Enumeration," --ftz=","true","false"
Enumeration," --prec-sqrt=","true","false"
Enumeration," --gpu-architecture=","sm_30","sm_52"
Enumeration," --optimize=","0","3"
Enumeration," --relocatable-device-code=","true","false"
Enumeration," --prec-div=","true","false"
Enumeration,"-Xptxas --allow-expensive-optimizations=","true","false"
Enumeration,"-Xptxas --fmad=","true","false"
Enumeration,"-Xptxas --force-load-cache=","ca","lu"
Enumeration,"-Xptxas --opt-level=","0","3"
Enumeration,"-Xptxas --force-store-cache=","cg","cs"
Numeric,"-Xptxas --maxrregcount=","16","63"
